type,name,amount,balance,apr,minPayment,date,category,note,debtName,target,current,month,day,dueDay,kind,monthsLeft
income,Salary,6500,,,,,,,,,,2026-04,1,,,
income,Freelance (Upwork),1200,,,,,,,,,,2026-04,20,,,
expense,Rent,1800,,,,,,,,,,2026-04,1,,,
expense,Utilities (TNB),220,,,,,,,,,,2026-04,5,,,
expense,Internet (Unifi),129,,,,,,,,,,2026-04,8,,,
expense,Phone (Celcom),80,,,,,,,,,,2026-04,15,,,
expense,Groceries budget,900,,,,,,,,,,2026-04,,,,
expense,Transport,350,,,,,,,,,,2026-04,,,,
expense,Insurance (AIA),180,,,,,,,,,,2026-04,10,,,
expense,Netflix + Spotify,45,,,,,,,,,,2026-04,12,,,
debt,HSBC Credit Card,,8500,18,255,,,,,,,,,15,standard,
debt,Maybank Visa,,3200,24,120,,,,,,,,,22,standard,
debt,Car Loan (Proton),,24500,4.5,620,,,,,,,,,10,standard,
debt,PTPTN,,15000,1,150,,,,,,,,,20,standard,
debt,iPhone 15 (Shopee),,2400,0,400,,,,,,,,,25,installment,6
saving,Emergency Fund,,,,,,,,,20000,8500,,,,,
saving,Vacation Japan 2027,,,,,,,,,12000,3200,,,,,
saving,Car Down Payment,,,,,,,,,30000,11000,,,,,
daily,,87.50,,,,2026-04-18,Groceries,Tesco weekly shop,,,,,,,,
daily,,24.90,,,,2026-04-17,Food & Dining,Mamak lunch,,,,,,,,
daily,,15,,,,2026-04-16,Transport,Grab to KLCC,,,,,,,,
daily,,42,,,,2026-04-15,Food & Dining,Dinner with friends,,,,,,,,
daily,,129,,,,2026-04-14,Shopping,Uniqlo t-shirts,,,,,,,,
daily,,65.80,,,,2026-04-13,Groceries,Jaya Grocer,,,,,,,,
daily,,38,,,,2026-04-12,Entertainment,GSC Mid Valley,,,,,,,,
daily,,18.50,,,,2026-04-10,Food & Dining,Starbucks,,,,,,,,
daily,,45,,,,2026-04-09,Transport,Petrol (Petronas),,,,,,,,
daily,,75,,,,2026-04-08,Health,Guardian pharmacy,,,,,,,,
daily,,32,,,,2026-04-05,Food & Dining,GrabFood dinner,,,,,,,,
daily,,150,,,,2026-04-03,Groceries,Costco run,,,,,,,,
daily-saving,Emergency Fund,500,,,,2026-04-15,,Monthly auto-save,,,,,,,,
daily-debt,,300,,,,2026-04-15,,Avalanche extra,Maybank Visa,,,,,,,
setting,extraMonthly,500,,,,,,,,,,,,,,
