type,name,amount,balance,apr,minPayment,date,category,note,debtName,target,current,month,day,dueDay,kind,monthsLeft
setting,currency,,,,,,,,,,,MYR,,,,
setting,month,,,,,,,,,,,2026-06,,,,
income,Salary (TechCo),7200,,,,,,,,,,2026-06,1,,,
income,Freelance (Upwork),1500,,,,,,,,,,2026-06,18,,,
income,Side income (TikTok),320,,,,,,,,,,2026-06,25,,,
expense,Rent (KL),1900,,,,,,,,,,2026-06,1,,,
expense,Utilities (TNB),195,,,,,,,,,,2026-06,5,,,
expense,Internet (Unifi),129,,,,,,,,,,2026-06,8,,,
expense,Phone (Celcom),85,,,,,,,,,,2026-06,15,,,
expense,Groceries budget,950,,,,,,,,,,2026-06,,,,
expense,Transport (Grab + petrol),420,,,,,,,,,,2026-06,,,,
expense,Insurance (Prudential),245,,,,,,,,,,2026-06,10,,,
expense,Netflix + Spotify + YouTube,72,,,,,,,,,,2026-06,12,,,
expense,Gym (Anytime Fitness),99,,,,,,,,,,2026-06,3,,,
expense,Parents (monthly),500,,,,,,,,,,2026-06,28,,,
debt,CIMB Visa Signature,,9450,18,285,,,,,,,,,15,standard,
debt,Maybank 2 Cards Platinum,,3850,24,155,,,,,,,,,22,standard,
debt,UOB One Card,,2240,21,105,,,,,,,,,8,standard,
debt,Car Loan (Honda HR-V),,38500,4.6,840,,,,,,,,,10,standard,
debt,PTPTN study loan,,21500,1,180,,,,,,,,,20,standard,
debt,Atome iPhone 15,,,,,,,,Atome,,,,,5,installment,4
debt,SPayLater Air-cond,,,,,,,,SPayLater,,,,,12,installment,3
debt,Grab PayLater dining,,,,,,,,Grab PayLater,,,,,18,installment,2
saving,Emergency fund,,,,,,,,,15000,4200,,,,,
saving,Hajj fund,,,,,,,,,30000,7800,,,,,
saving,Wedding (kahwin),,,,,,,,,45000,12500,,,,,
saving,Japan trip 2027,,,,,,,,,8000,2100,,,,,
saving,New iPhone fund,,,,,,,,,5500,1200,,,,,
daily,,12,,,,2026-06-01,Food,Mamak — roti canai + teh tarik,,,,,,,,
daily,,18.50,,,,2026-06-02,Transport,Grab to office,,,,,,,,
daily,,89,,,,2026-06-03,Shopping,Mid Valley — Uniqlo shirts,,,,,,,,
daily,,14,,,,2026-06-04,Food,Lunch at office,,,,,,,,
daily,,57,,,,2026-06-05,Transport,Petronas RON95 full tank,,,,,,,,
daily,,50,,,,2026-06-05,Transport,Touch n Go top up,,,,,,,,
daily,,21.50,,,,2026-06-06,Food,Starbucks,,,,,,,,
daily,,134.20,,,,2026-06-06,Groceries,Jaya Grocer weekly run,,,,,,,,
daily,,32,,,,2026-06-07,Entertainment,TGV cinema — date night,,,,,,,,
daily,,88,,,,2026-06-07,Food,Yasmin restaurant dinner,,,,,,,,
daily,,23.90,,,,2026-06-08,Food,GrabFood lunch,,,,,,,,
daily,,9.50,,,,2026-06-09,Food,KK Mart late snack,,,,,,,,
daily,,45,,,,2026-06-10,Shopping,Lazada — air-fryer accessories,,,,,,,,
daily,,28,,,,2026-06-11,Shopping,Shopee — phone case,,,,,,,,
daily,,156,,,,2026-06-12,Food,Klang Pavilion family makan,,,,,,,,
daily,,30,,,,2026-06-12,Transport,Boost / TnG reload,,,,,,,,
daily,,12,,,,2026-06-13,Food,Mamak after gym,,,,,,,,
daily,,67.40,,,,2026-06-14,Health,Watson — skincare + vitamin,,,,,,,,
daily,,54,,,,2026-06-15,Subscriptions,Maxis streaming bundle,,,,,,,,
daily,,75,,,,2026-06-16,Transport,Grab to KLIA,,,,,,,,
daily,,16,,,,2026-06-16,Food,The Coffee Bean,,,,,,,,
daily,,27,,,,2026-06-17,Food,Mid Valley lunch,,,,,,,,
daily,,58,,,,2026-06-18,Transport,Petronas refuel,,,,,,,,
daily,,39.90,,,,2026-06-19,Shopping,Lazada flash sale — kitchen storage,,,,,,,,
daily,,11,,,,2026-06-19,Food,Mamak supper,,,,,,,,
daily,,6,,,,2026-06-20,Transport,DBKL parking,,,,,,,,
daily,,42,,,,2026-06-20,Food,Sushi King,,,,,,,,
daily,,19,,,,2026-06-21,Food,Pavilion KL coffee,,,,,,,,
daily,,119,,,,2026-06-22,Shopping,Setia City Mall — new jeans,,,,,,,,
daily,,24.50,,,,2026-06-23,Food,Texas Chicken combo,,,,,,,,
daily,,95,,,,2026-06-24,Entertainment,Bangsar — birthday drinks,,,,,,,,
daily-debt,,300,,,,2026-06-04,,Extra above minimum,CIMB Visa Signature,,,,,,,
daily-debt,,200,,,,2026-06-11,,Monthly payment,Maybank 2 Cards Platinum,,,,,,,
daily-debt,,200,,,,2026-06-15,,Month 2 of 6,Atome iPhone 15,,,,,,,
daily-debt,,150,,,,2026-06-15,,Monthly,SPayLater Air-cond,,,,,,,
daily-debt,,150,,,,2026-06-22,,Quick pay,UOB One Card,,,,,,,
daily-saving,Emergency fund,300,,,,2026-06-01,,Auto-transfer,,,,,,,,
daily-saving,Hajj fund,200,,,,2026-06-01,,Monthly,,,,,,,,
daily-saving,Wedding (kahwin),500,,,,2026-06-15,,Monthly target,,,,,,,,
daily-saving,Japan trip 2027,150,,,,2026-06-15,,Holiday fund,,,,,,,,
daily-saving,New iPhone fund,100,,,,2026-06-22,,Upgrade fund,,,,,,,,
