type,name,amount,balance,apr,minPayment,date,category,note,debtName,target,current,month,day,dueDay,kind,monthsLeft,term_months,brand
income,Gaji,5100,,,,,,,,,,2026-06,25,,,,,
income,Freelance design,850,,,,,,,,,,2026-06,18,,,,,
income,Gaji,5100,,,,,,,,,,2026-07,25,,,,,
income,Freelance design,600,,,,,,,,,,2026-07,18,,,,,
income,Gaji,5100,,,,,,,,,,2026-08,25,,,,,
expense,Sewa bilik,1200,,,,,,,,,,2026-06,1,,,,,
expense,Netflix + Spotify,55,,,,,,,,,,2026-06,3,,,,,
expense,Insurans medical card,210,,,,,,,,,,2026-06,5,,,,,
expense,Unifi 100Mbps,139,,,,,,,,,,2026-06,8,,,,,
expense,Telefon postpaid,78,,,,,,,,,,2026-06,12,,,,,
expense,Utilities (TNB),176.96,,,,,,,,,,2026-06,12,,,,,
expense,Air Selangor,28.34,,,,,,,,,,2026-06,15,,,,,
expense,Sewa bilik,1200,,,,,,,,,,2026-07,1,,,,,
expense,Netflix + Spotify,55,,,,,,,,,,2026-07,3,,,,,
expense,Insurans medical card,210,,,,,,,,,,2026-07,5,,,,,
expense,Unifi 100Mbps,139,,,,,,,,,,2026-07,8,,,,,
expense,Telefon postpaid,78,,,,,,,,,,2026-07,12,,,,,
expense,Utilities (TNB),148.71,,,,,,,,,,2026-07,12,,,,,
expense,Air Selangor,31.94,,,,,,,,,,2026-07,15,,,,,
expense,Sewa bilik,1200,,,,,,,,,,2026-08,1,,,,,
expense,Netflix + Spotify,55,,,,,,,,,,2026-08,3,,,,,
expense,Insurans medical card,210,,,,,,,,,,2026-08,5,,,,,
debt,Maybank card,,3240,18,162,,,,,,,,,15,standard,,,maybank
debt,PTPTN,,12400,1,150,,,,,,,,,28,standard,,,
debt,Kereta Myvi,,25070,,545,,,,,,,,,5,installment,46,84,
debt,SPayLater,,533.34,,266.67,,,,,,,,,18,installment,2,3,spaylater
debt,Atome — Uniqlo,,89.9,,89.9,,,,,,,,,22,installment,1,3,atome
saving,Simpanan kecemasan,,,,,,,,,15000,4200,,,,,,,
saving,Umrah 2027,,,,,,,,,8000,1150,,,,,,,
daily,,8.84,,,,2026-06-01,Food,Nasi lemak + kopi O,,,,,,,,,,
daily,,12.09,,,,2026-06-01,Food,Chicken rice,,,,,,,,,,
daily,,15.38,,,,2026-06-01,Food,Tealive,,,,,,,,,,
daily,,12.73,,,,2026-06-02,Food,Chicken rice,,,,,,,,,,
daily,,5.68,,,,2026-06-02,Transport,Parking,,,,,,,,,,
daily,,12.59,,,,2026-06-03,Food,Chicken rice,,,,,,,,,,
daily,,14.13,,,,2026-06-03,Food,Tealive,,,,,,,,,,
daily,,62.65,,,,2026-06-03,Transport,RON95 full tank,,,,,,,,,,
daily,,7.82,,,,2026-06-04,Food,Nasi lemak + kopi O,,,,,,,,,,
daily,,6.76,,,,2026-06-04,Food,Kuih pasar malam,,,,,,,,,,
daily,,6.75,,,,2026-06-05,Food,Roti canai + teh tarik,,,,,,,,,,
daily,,50,,,,2026-06-05,Transport,Touch 'n Go reload,,,,,,,,,,
daily,,7.67,,,,2026-06-07,Food,Kuih pasar malam,,,,,,,,,,
daily,,39.76,,,,2026-06-07,Entertainment,GSC,,,,,,,,,,
daily,,10.07,,,,2026-06-08,Food,Economy rice,,,,,,,,,,
daily,,15.96,,,,2026-06-08,Food,Mamak dinner,,,,,,,,,,
daily,,14.7,,,,2026-06-09,Food,Mamak dinner,,,,,,,,,,
daily,,12.31,,,,2026-06-10,Food,Economy rice,,,,,,,,,,
daily,,42.24,,,,2026-06-10,Food,Dinner dengan geng,,,,,,,,,,
daily,,65.81,,,,2026-06-10,Transport,RON95 full tank,,,,,,,,,,
daily,,8.13,,,,2026-06-11,Food,Nasi lemak + kopi O,,,,,,,,,,
daily,,15.25,,,,2026-06-11,Food,Lunch food court KLCC,,,,,,,,,,
daily,,10.74,,,,2026-06-12,Food,Economy rice,,,,,,,,,,
daily,,6.96,,,,2026-06-12,Food,Kuih pasar malam,,,,,,,,,,
daily,,16.44,,,,2026-06-13,Food,Tapau dinner,,,,,,,,,,
daily,,7.75,,,,2026-06-13,Food,Kuih pasar malam,,,,,,,,,,
daily,,12.09,,,,2026-06-14,Food,Mamak dinner,,,,,,,,,,
daily,,7.07,,,,2026-06-14,Transport,Parking,,,,,,,,,,
daily,,8.25,,,,2026-06-15,Food,Nasi lemak + kopi O,,,,,,,,,,
daily,,12.52,,,,2026-06-15,Food,Nasi campur 2 lauk,,,,,,,,,,
daily,,12.86,,,,2026-06-15,Food,Mamak dinner,,,,,,,,,,
daily,,34.49,,,,2026-06-15,Entertainment,Board game cafe,,,,,,,,,,
daily,,10.88,,,,2026-06-16,Food,Economy rice,,,,,,,,,,
daily,,34.55,,,,2026-06-16,Others,Topup parents,,,,,,,,,,
daily,,13.09,,,,2026-06-17,Food,Kopitiam breakfast set,,,,,,,,,,
daily,,15.24,,,,2026-06-17,Food,Lunch food court KLCC,,,,,,,,,,
daily,,14.23,,,,2026-06-17,Food,Mamak dinner,,,,,,,,,,
daily,,18.3,,,,2026-06-17,Food,Starbucks,,,,,,,,,,
daily,,71.93,,,,2026-06-17,Transport,RON95 full tank,,,,,,,,,,
daily,,116.96,,,,2026-06-17,Shopping,Decathlon,,,,,,,,,,
daily,,17.98,,,,2026-06-18,Food,Lunch food court KLCC,,,,,,,,,,
daily,,13.61,,,,2026-06-18,Food,Mamak dinner,,,,,,,,,,
daily,,13.41,,,,2026-06-18,Food,Tealive,,,,,,,,,,
daily,,22.78,,,,2026-06-18,Transport,Grab,,,,,,,,,,
daily,,8.44,,,,2026-06-19,Food,Nasi lemak + kopi O,,,,,,,,,,
daily,,11.88,,,,2026-06-19,Food,Chicken rice,,,,,,,,,,
daily,,5.17,,,,2026-06-19,Food,Kuih pasar malam,,,,,,,,,,
daily,,28.48,,,,2026-06-19,Groceries,99 Speedmart,,,,,,,,,,
daily,,16.84,,,,2026-06-20,Food,Tapau dinner,,,,,,,,,,
daily,,81.61,,,,2026-06-20,Groceries,Mydin,,,,,,,,,,
daily,,8.33,,,,2026-06-21,Food,Nasi lemak + kopi O,,,,,,,,,,
daily,,15.22,,,,2026-06-21,Food,Mamak dinner,,,,,,,,,,
daily,,6.23,,,,2026-06-21,Food,Kuih pasar malam,,,,,,,,,,
daily,,50,,,,2026-06-21,Transport,Touch 'n Go reload,,,,,,,,,,
daily,,87.51,,,,2026-06-21,Groceries,Jaya Grocer,,,,,,,,,,
daily,,16.57,,,,2026-06-22,Food,Lunch food court KLCC,,,,,,,,,,
daily,,66.73,,,,2026-06-22,Shopping,Watsons,,,,,,,,,,
daily,,8.29,,,,2026-06-23,Food,Roti canai + teh tarik,,,,,,,,,,
daily,,10.19,,,,2026-06-23,Food,Economy rice,,,,,,,,,,
daily,,14.58,,,,2026-06-23,Food,Tapau dinner,,,,,,,,,,
daily,,41.8,,,,2026-06-23,Groceries,99 Speedmart,,,,,,,,,,
daily,,8.3,,,,2026-06-24,Food,Nasi lemak + kopi O,,,,,,,,,,
daily,,14.44,,,,2026-06-24,Food,Chicken rice,,,,,,,,,,
daily,,73.42,,,,2026-06-24,Transport,RON95 full tank,,,,,,,,,,
daily,,50.12,,,,2026-06-24,Entertainment,GSC,,,,,,,,,,
daily,,11.17,,,,2026-06-25,Food,Kopitiam breakfast set,,,,,,,,,,
daily,,11.03,,,,2026-06-25,Food,Chicken rice,,,,,,,,,,
daily,,11.57,,,,2026-06-26,Food,Kopitiam breakfast set,,,,,,,,,,
daily,,12.74,,,,2026-06-26,Food,Nasi campur 2 lauk,,,,,,,,,,
daily,,38.93,,,,2026-06-26,Food,Dinner dengan geng,,,,,,,,,,
daily,,14.09,,,,2026-06-26,Food,Tealive,,,,,,,,,,
daily,,4.5,,,,2026-06-26,Transport,Parking,,,,,,,,,,
daily,,89.51,,,,2026-06-26,Shopping,Uniqlo,,,,,,,,,,
daily,,9,,,,2026-06-27,Food,Nasi lemak + kopi O,,,,,,,,,,
daily,,32.77,,,,2026-06-27,Food,Dinner dengan geng,,,,,,,,,,
daily,,19.86,,,,2026-06-27,Food,Starbucks,,,,,,,,,,
daily,,79.58,,,,2026-06-27,Groceries,Jaya Grocer,,,,,,,,,,
daily,,62.93,,,,2026-06-27,Shopping,Uniqlo,,,,,,,,,,
daily,,15.07,,,,2026-06-28,Food,Tapau dinner,,,,,,,,,,
daily,,55.96,,,,2026-06-28,Entertainment,Board game cafe,,,,,,,,,,
daily,,11.06,,,,2026-06-29,Food,Nasi campur 2 lauk,,,,,,,,,,
daily,,52.87,,,,2026-06-29,Entertainment,Board game cafe,,,,,,,,,,
daily,,7.83,,,,2026-06-30,Food,Nasi lemak + kopi O,,,,,,,,,,
daily,,11.3,,,,2026-06-30,Food,Economy rice,,,,,,,,,,
daily,,49.79,,,,2026-06-30,Shopping,Decathlon,,,,,,,,,,
daily,,250,,,,2026-06-14,Others,Angpow kahwin sepupu,,,,,,,,,,
daily,,120,,,,2026-06-09,Health,Scaling gigi,,,,,,,,,,
daily,,12.82,,,,2026-07-01,Food,Kopitiam breakfast set,,,,,,,,,,
daily,,16.07,,,,2026-07-01,Food,Lunch food court KLCC,,,,,,,,,,
daily,,30.47,,,,2026-07-01,Food,Dinner dengan geng,,,,,,,,,,
daily,,31.48,,,,2026-07-01,Groceries,99 Speedmart,,,,,,,,,,
daily,,8.44,,,,2026-07-02,Food,Nasi lemak + kopi O,,,,,,,,,,
daily,,11.08,,,,2026-07-02,Food,Nasi campur 2 lauk,,,,,,,,,,
daily,,7.06,,,,2026-07-02,Transport,Parking,,,,,,,,,,
daily,,8.8,,,,2026-07-03,Food,Nasi lemak + kopi O,,,,,,,,,,
daily,,11.63,,,,2026-07-03,Food,Economy rice,,,,,,,,,,
daily,,69.01,,,,2026-07-03,Transport,RON95 full tank,,,,,,,,,,
daily,,18.98,,,,2026-07-04,Food,Starbucks,,,,,,,,,,
daily,,17.79,,,,2026-07-04,Transport,Grab,,,,,,,,,,
daily,,8.1,,,,2026-07-05,Food,Kuih pasar malam,,,,,,,,,,
daily,,50,,,,2026-07-05,Transport,Touch 'n Go reload,,,,,,,,,,
daily,,90.86,,,,2026-07-05,Groceries,Lotus's,,,,,,,,,,
